ID,Player,Nation,Club,Position,In_17_18,Age,Appearances,Starts,Subs,MinsPlayed,Minutes/Appearance,Goals,Assists,PenaltiesTaken,PenaltiesAttempted,Fouls,YellowCards,RedCards,ShotsOnTarget,Goals/90,GoalsAndAssists/90,GoalsMinusPenalties/90,GoalsAndAssistsMinusPenaltiesPer90,ShotsOnTarget/90,Fouls/90,Cards/90
1,Nathaniel Clyne,eng ENG,Liverpool,DF,Y,25,37,37,0,3323,90,0,2,0,0,15,0,0,4,0,0.05,0,0.05,0.11,0.41,0
2,James Milner,eng ENG,Liverpool,MF,Y,30,36,36,0,3154,88,7,3,7,8,38,5,0,17,0.2,0.29,0,0.09,0.49,1.08,0.14
3,Roberto Firmino,br BRA,Liverpool,FW,Y,24,35,34,1,3062,88,11,7,0,0,50,5,0,45,0.32,0.53,0.32,0.53,1.32,1.47,0.15
4,Georginio Wijnaldum,nl NED,Liverpool,MF,Y,25,36,33,3,2972,83,6,8,0,0,21,2,0,21,0.18,0.42,0.18,0.42,0.64,0.64,0.06
5,Dejan Lovren,hr CRO,Liverpool,DF,Y,27,29,29,0,2553,88,2,1,0,0,25,6,0,5,0.07,0.11,0.07,0.11,0.18,0.88,0.21
6,Philippe Coutinho,br BRA,Liverpool,MF,Y,24,31,28,3,2227,72,13,8,0,0,18,2,0,39,0.53,0.85,0.53,0.85,1.58,0.73,0.08
7,Joel Matip,cm CMR,Liverpool,DF,Y,24,29,27,2,2457,85,1,0,0,0,14,3,0,4,0.04,0.04,0.04,0.04,0.15,0.51,0.11
8,Adam Lallana,eng ENG,Liverpool,MF,Y,28,31,27,4,2348,76,8,6,0,0,17,3,0,19,0.31,0.54,0.31,0.54,0.73,0.65,0.11
9,Emre Can,de GER,Liverpool,MF,Y,22,32,26,6,2371,74,5,2,0,0,70,6,0,11,0.19,0.27,0.19,0.27,0.42,2.66,0.23
10,Sadio Mane,sn SEN,Liverpool,MF,Y,24,27,26,1,2235,83,13,5,0,0,32,4,0,25,0.52,0.72,0.52,0.72,1.01,1.29,0.16
11,Jordan Henderson,eng ENG,Liverpool,MF,Y,26,24,24,0,2116,88,1,4,0,0,28,8,0,4,0.04,0.21,0.04,0.21,0.17,1.19,0.34
12,Ragnar Klavan,ee EST,Liverpool,DF,Y,30,20,15,5,1410,71,0,0,0,0,15,3,0,2,0,0,0,0,0.13,0.96,0.19
13,Divock Origi,be BEL,Liverpool,FW,N,21,34,14,20,1468,43,7,3,0,0,22,0,0,15,0.43,0.61,0.43,0.61,0.92,1.35,0
14,Lucas Leiva,br BRA,Liverpool,MF,N,29,24,12,12,1112,46,0,2,0,0,18,4,0,1,0,0.16,0,0.16,0.08,1.46,0.32
15,Daniel Sturridge,eng ENG,Liverpool,FW,F,26,20,7,13,775,39,3,1,0,0,5,1,0,20,0.35,0.46,0.35,0.46,2.32,0.58,0.12
16,Alberto Moreno,es ESP,Liverpool,DF,Y,24,12,2,10,305,25,0,0,0,0,2,1,0,0,0,0,0,0,0,0.59,0.3
17,Trent Alexander-Arnold,eng ENG,Liverpool,DF,Y,17,7,2,5,167,24,0,0,0,0,1,0,0,2,0,0,0,0,1.08,0.54,0
18,Ben Woodburn,eng ENG,Liverpool,FW,Y,16,5,1,4,86,17,0,0,0,0,2,0,0,0,0,0,0,0,0,2.09,0
19,Marko Grujic,rs SRB,Liverpool,MF,F,20,5,0,5,43,9,0,0,0,0,2,1,0,2,0,0,0,0,4.19,4.19,2.09
20,Kevin Stewart,eng ENG,Liverpool,MF,N,22,4,0,4,20,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5,0
21,Ovie Ejaria,eng ENG,Liverpool,MF,F,18,2,0,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Joe Gomez,eng ENG,Liverpool,DF,Y,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Andrew Robertson,sco SCO,Liverpool,DF,Y,22,33,31,2,2736,83,1,2,0,0,18,5,0,1,0.03,0.1,0.03,0.1,0.03,0.59,0.16
24,Alex Oxlade-Chamberlain,eng ENG,Liverpool,MF,Y,22,29,16,13,1628,56,2,7,0,0,30,1,0,8,0.11,0.5,0.11,0.5,0.44,1.66,0.06
25,Virgil van Dijk,nl NED,Liverpool,DF,S,25,21,21,0,1853,88,1,0,0,0,18,4,1,5,0.05,0.05,0.05,0.05,0.24,0.87,0.24
26,Dominic Solanke,eng ENG,Liverpool,FW,Y,19,25,21,4,1805,72,7,1,2,2,39,0,0,15,0.35,0.4,0.25,0.3,0.75,1.94,0
27,Mohamed Salah,eg EGY,Liverpool,MF,Y,24,31,29,2,2473,80,15,11,0,0,27,2,0,34,0.55,0.95,0.55,0.95,1.24,0.98,0.07
28,Steve Cook,eng ENG,Bournemouth,DF,Y,25,38,38,0,3420,90,2,0,0,0,16,5,0,9,0.05,0.05,0.05,0.05,0.24,0.42,0.13
29,Adam Smith,eng ENG,Bournemouth,DF,Y,25,36,34,2,3079,86,1,5,0,0,44,6,0,6,0.03,0.18,0.03,0.18,0.18,1.29,0.18
30,Charlie Daniels,eng ENG,Bournemouth,DF,Y,29,34,34,0,3060,90,4,3,0,0,12,1,0,6,0.12,0.21,0.12,0.21,0.18,0.35,0.03
31,Simon Francis,eng ENG,Bournemouth,DF,Y,31,34,34,0,2939,86,0,1,0,0,27,4,1,0,0,0.03,0,0.03,0,0.83,0.15
32,Harry Arter,ie IRL,Bournemouth,MF,Y,26,35,33,2,2957,85,1,3,0,1,37,12,1,11,0.03,0.12,0.03,0.12,0.33,1.13,0.4
33,Joshua King,no NOR,Bournemouth,FW,Y,24,36,31,5,2713,75,16,2,2,3,58,1,0,31,0.53,0.6,0.46,0.53,1.03,1.92,0.03
34,Jack Wilshere,eng ENG,Bournemouth,MF,N,24,27,22,5,1910,71,0,2,0,0,19,3,0,10,0,0.09,0,0.09,0.47,0.9,0.14
35,Andrew Surman,eng ENG,Bournemouth,MF,Y,29,22,21,1,1801,82,0,1,0,0,16,2,1,2,0,0.05,0,0.05,0.1,0.8,0.15
36,Ryan Fraser,sco SCO,Bournemouth,MF,Y,22,28,19,9,1764,63,3,5,0,0,18,3,0,12,0.15,0.41,0.15,0.41,0.61,0.92,0.15
37,Junior Stanislas,eng ENG,Bournemouth,MF,Y,26,21,18,3,1467,70,7,5,2,2,8,1,0,18,0.43,0.74,0.31,0.61,1.1,0.49,0.06
38,Callum Wilson,eng ENG,Bournemouth,FW,Y,24,20,16,4,1423,71,6,0,3,3,29,0,0,12,0.38,0.38,0.19,0.19,0.76,1.83,0
39,Marc Pugh,eng ENG,Bournemouth,MF,Y,29,21,16,5,1328,63,2,2,0,0,7,1,0,6,0.14,0.27,0.14,0.27,0.41,0.47,0.07
40,Benik Afobe,eng ENG,Bournemouth,FW,F,23,31,14,17,1461,47,6,3,0,1,22,1,0,18,0.37,0.55,0.37,0.55,1.11,1.36,0.06
41,Dan Gosling,eng ENG,Bournemouth,MF,Y,26,27,14,13,1366,51,2,0,0,0,26,6,0,4,0.13,0.13,0.13,0.13,0.26,1.71,0.4
42,Jordon Ibe,eng ENG,Bournemouth,MF,Y,20,25,13,12,1055,42,0,0,0,0,7,0,0,1,0,0,0,0,0.09,0.6,0
43,Nathan Ake,nl NED,Bournemouth,DF,Y,21,10,8,2,735,74,3,0,0,0,3,0,0,4,0.37,0.37,0.37,0.37,0.49,0.37,0
44,Tyrone Mings,eng ENG,Bournemouth,DF,Y,23,7,5,2,506,72,0,0,0,0,7,0,0,1,0,0,0,0,0.18,1.25,0
45,Lewis Cook,eng ENG,Bournemouth,MF,Y,19,6,4,2,432,72,0,1,0,0,3,1,0,2,0,0.21,0,0.21,0.42,0.62,0.21
46,Brad Smith,eng ENG,Bournemouth,DF,Y,22,5,3,2,291,58,0,0,0,0,2,1,0,1,0,0,0,0,0.31,0.62,0.31
47,Lys Mousset,fr FRA,Bournemouth,MF,Y,20,11,3,8,270,25,0,0,0,0,6,0,0,3,0,0,0,0,1,2,0
48,Max Gradel,ci CIV,Bournemouth,MF,Y,28,11,0,11,134,12,0,0,0,0,4,3,0,2,0,0,0,0,1.34,2.69,2.01
49,Lewis Grabban,eng ENG,Bournemouth,FW,N,28,3,0,3,60,20,0,0,0,0,1,0,0,1,0,0,0,0,1.5,1.5,0
50,Matt Worthington,eng ENG,Bournemouth,MF,Y,18,1,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Baily Cargill,eng ENG,Bournemouth,DF,N,21,1,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jermain Defoe,eng ENG,Bournemouth,FW,Y,33,37,37,0,3321,90,15,2,5,5,25,1,0,31,0.41,0.46,0.27,0.33,0.84,0.68,0.03
53,Alexis Sanchez,cl CHI,Arsenal,MF,F,27,38,36,2,3217,85,24,10,2,3,48,6,0,49,0.67,0.95,0.62,0.9,1.37,1.34,0.17
54,Nacho Monreal,es ESP,Arsenal,DF,Y,30,36,35,1,3153,88,0,2,0,0,33,5,0,2,0,0.06,0,0.06,0.06,0.94,0.14
55,Laurent Koscielny,fr FRA,Arsenal,DF,Y,30,33,33,0,2822,86,2,0,0,0,19,4,1,4,0.06,0.06,0.06,0.06,0.13,0.61,0.16
56,Mesut Ozil,de GER,Arsenal,MF,Y,27,33,32,1,2841,86,8,10,0,0,13,2,0,18,0.25,0.57,0.25,0.57,0.57,0.41,0.06
57,Granit Xhaka,ch SUI,Arsenal,MF,Y,23,32,28,4,2485,78,2,2,0,0,37,5,2,9,0.07,0.14,0.07,0.14,0.33,1.34,0.25
58,Hector Bellerin,es ESP,Arsenal,DF,Y,21,33,27,6,2503,76,1,4,0,0,20,4,0,5,0.04,0.18,0.04,0.18,0.18,0.72,0.14
59,Shkodran Mustafi,de GER,Arsenal,DF,Y,24,26,26,0,2274,88,2,2,0,0,36,11,0,6,0.08,0.16,0.08,0.16,0.24,1.42,0.44
60,Theo Walcott,eng ENG,Arsenal,FW,F,27,28,23,5,1916,68,10,2,0,1,15,1,0,29,0.47,0.56,0.47,0.56,1.36,0.7,0.05
61,Francis Coquelin,fr FRA,Arsenal,MF,F,25,29,22,7,1779,61,0,0,0,0,33,5,0,3,0,0,0,0,0.15,1.67,0.25
62,Alex Iwobi,ng NGA,Arsenal,FW,Y,20,26,18,8,1456,56,3,4,0,0,7,1,0,11,0.19,0.43,0.19,0.43,0.68,0.43,0.06
63,Alex Oxlade-Chamberlain,eng ENG,Arsenal,MF,N,22,29,16,13,1628,56,2,7,0,0,30,1,0,8,0.11,0.5,0.11,0.5,0.44,1.66,0.06
64,Gabriel Paulista,br BRA,Arsenal,DF,Y,25,19,15,4,1517,80,0,0,0,0,19,6,0,2,0,0,0,0,0.12,1.13,0.36
65,Aaron Ramsey,wal WAL,Arsenal,MF,Y,25,23,13,10,1236,54,1,4,0,0,15,3,0,12,0.07,0.36,0.07,0.36,0.87,1.09,0.22
66,Olivier Giroud,fr FRA,Arsenal,FW,F,29,29,11,18,1206,42,12,3,0,0,21,2,0,20,0.9,1.12,0.9,1.12,1.49,1.57,0.15
67,Rob Holding,eng ENG,Arsenal,DF,Y,20,9,9,0,810,90,0,0,0,0,10,3,0,2,0,0,0,0,0.22,1.11,0.33
68,Danny Welbeck,eng ENG,Arsenal,FW,Y,25,16,8,8,748,47,2,2,0,0,7,0,0,9,0.24,0.48,0.24,0.48,1.08,0.84,0
69,Kieran Gibbs,eng ENG,Arsenal,DF,N,26,11,8,3,702,64,0,1,0,0,11,3,0,1,0,0.13,0,0.13,0.13,1.41,0.38
70,Mohamed Elneny,eg EGY,Arsenal,MF,Y,24,14,8,6,694,50,0,1,0,0,10,1,0,2,0,0.13,0,0.13,0.26,1.3,0.13
71,Santi Cazorla,es ESP,Arsenal,MF,Y,31,8,7,1,618,77,2,1,2,2,4,2,0,4,0.29,0.44,0,0.15,0.58,0.58,0.29
72,Lucas Perez,es ESP,Arsenal,FW,N,27,11,2,9,272,25,1,0,0,0,3,0,0,4,0.33,0.33,0.33,0.33,1.32,0.99,0
73,Calum Chambers,eng ENG,Arsenal,DF,Y,21,1,1,0,90,90,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
74,Carl Jenkinson,eng ENG,Arsenal,DF,N,24,1,1,0,82,82,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,0
75,Mathieu Debuchy,fr FRA,Arsenal,DF,N,31,1,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Jack Wilshere,eng ENG,Arsenal,MF,Y,24,2,0,2,39,20,0,0,0,0,2,1,0,0,0,0,0,0,0,4.62,2.31
77,Per Mertesacker,de GER,Arsenal,DF,Y,31,1,0,1,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Henrikh Mkhitaryan,am ARM,Arsenal,MF,S,27,24,15,9,1348,56,4,1,0,0,19,1,0,16,0.27,0.33,0.27,0.33,1.07,1.27,0.07
79,Sead Kolasinac,ba BIH,Arsenal,DF,Y,23,25,24,1,2065,83,3,5,0,0,39,5,0,5,0.13,0.35,0.13,0.35,0.22,1.7,0.22
80,Alexandre Lacazette,fr FRA,Arsenal,FW,Y,25,30,28,2,2405,80,28,3,10,12,55,3,0,48,1.05,1.16,0.67,0.79,1.8,2.06,0.11
81,Pierre-Emerick Aubameyang,ga GAB,Arsenal,FW,Y,27,32,31,1,2779,87,31,3,2,4,22,3,0,58,1,1.1,0.94,1.04,1.88,0.71,0.1
82,Ainsley Maitland-Niles,eng ENG,Arsenal,MF,Y,18,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Anthony Knockaert,fr FRA,Brighton,MF,Y,24,45,44,1,3773,84,15,8,0,0,48,10,0,38,0.36,0.55,0.36,0.55,0.91,1.14,0.24
84,Lewis Dunk,eng ENG,Brighton,DF,Y,24,43,43,0,3740,87,2,1,0,0,39,13,1,13,0.05,0.07,0.05,0.07,0.31,0.94,0.34
85,Bruno,es ESP,Brighton,DF,Y,35,42,42,0,3715,89,0,3,0,0,30,0,0,2,0,0.07,0,0.07,0.05,0.73,0
86,Glenn Murray,eng ENG,Brighton,FW,Y,32,45,39,6,3439,76,23,5,4,4,117,6,1,45,0.6,0.73,0.5,0.63,1.18,3.06,0.18
87,Dale Stephens,eng ENG,Brighton,MF,Y,27,39,33,6,3041,78,2,2,0,0,53,7,1,7,0.06,0.12,0.06,0.12,0.21,1.57,0.24
88,Shane Duffy,ie IRL,Brighton,DF,Y,24,31,31,0,2790,90,2,0,0,0,31,5,0,6,0.06,0.06,0.06,0.06,0.19,1,0.16
89,Sam Baldock,eng ENG,Brighton,FW,N,27,31,27,4,2162,70,11,4,0,0,32,5,1,25,0.46,0.62,0.46,0.62,1.04,1.33,0.25
90,Steve Sidwell,eng ENG,Brighton,MF,N,33,34,26,8,2383,70,1,0,0,0,45,4,0,3,0.04,0.04,0.04,0.04,0.11,1.7,0.15
91,Gaetan Bong,cm CMR,Brighton,DF,Y,28,24,24,0,2160,90,0,4,0,0,23,6,1,1,0,0.17,0,0.17,0.04,0.96,0.29
92,Jiri≠ Skalak,cz CZE,Brighton,FW,Y,24,31,24,7,1891,61,0,5,0,0,22,2,0,6,0,0.24,0,0.24,0.29,1.05,0.1
93,Jamie Murphy,sco SCO,Brighton,FW,N,26,35,20,15,1880,54,2,3,0,0,10,1,0,14,0.1,0.24,0.1,0.24,0.67,0.48,0.05
94,Tomer Hemed,il ISR,Brighton,FW,Y,29,37,20,17,1832,50,11,2,6,7,26,2,0,22,0.54,0.64,0.25,0.34,1.08,1.28,0.1
95,Beram Kayal,il ISR,Brighton,MF,Y,28,20,17,3,1385,69,0,1,0,0,35,1,0,2,0,0.06,0,0.06,0.13,2.27,0.06
96,Oliver Norwood,nir NIR,Brighton,MF,Y,25,33,16,17,1633,50,0,2,0,0,24,3,0,1,0,0.11,0,0.11,0.06,1.32,0.17
97,Sebastien Pocognoli,be BEL,Brighton,DF,Y,28,19,16,3,1371,72,1,1,0,0,21,2,0,1,0.07,0.13,0.07,0.13,0.07,1.38,0.13
98,Uwe Hunemeier,de GER,Brighton,DF,Y,30,11,11,0,990,90,1,0,0,0,5,0,0,2,0.09,0.09,0.09,0.09,0.18,0.45,0
99,Solly March,eng ENG,Brighton,MF,Y,22,25,9,16,1069,43,3,2,0,0,17,0,0,8,0.25,0.42,0.25,0.42,0.67,1.43,0
100,Liam Rosenior,eng ENG,Brighton,DF,Y,32,10,9,1,820,82,0,1,0,0,3,2,0,0,0,0.11,0,0.11,0,0.33,0.22
101,Connor Goldson,eng ENG,Brighton,DF,Y,23,5,4,1,371,74,0,0,0,0,2,0,0,0,0,0,0,0,0,0.49,0
102,Fikayo Tomori,ca CAN,Brighton,DF,Y,18,9,2,7,395,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0.23,0
103,Chuba Akpom,eng ENG,Brighton,FW,N,20,10,1,9,186,19,0,0,0,0,4,0,0,0,0,0,0,0,0,1.94,0
104,Sam Adekugbe,ca CAN,Brighton,DF,N,21,1,1,0,90,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
105,Kazenga LuaLua,cd COD,Brighton,MF,N,25,3,0,3,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Elvis Manu,nl NED,Brighton,MF,N,22,2,0,2,30,15,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3
107,Rob Hunt,eng ENG,Brighton,DF,N,21,1,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Richie Towell,ie IRL,Brighton,MF,N,25,1,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Davy Propper,nl NED,Brighton,MF,Y,24,34,33,1,2889,85,6,7,0,0,31,2,0,25,0.19,0.4,0.19,0.4,0.78,0.97,0.06
110,Jurgen Locadia,nl NED,Brighton,FW,S,22,14,9,5,764,55,3,2,0,0,14,2,0,9,0.35,0.59,0.35,0.59,1.06,1.65,0.24
111,Jose Izquierdo,co COL,Brighton,FW,Y,24,28,26,2,2141,77,14,0,0,0,,5,0,43,0.59,0.59,0.59,0.59,1.81,,0.21
112,Pascal Gross,de GER,Brighton,MF,Y,25,33,31,2,2720,82,5,3,3,3,47,5,0,14,0.17,0.26,0.07,0.17,0.46,1.56,0.17
113,Ezequiel Schelotto,it ITA,Brighton,DF,Y,27,23,22,1,1946,85,0,5,0,0,25,4,0,4,0,0.23,0,0.23,0.18,1.16,0.18
114,Leonardo Ulloa,"ar ARG,es ESP",Brighton,FW,S,30,16,3,13,447,28,1,0,0,0,20,0,0,5,0.2,0.2,0.2,0.2,1.01,4.03,0
115,Markus Suttner,at AUT,Brighton,DF,Y,29,31,31,0,2732,88,4,5,0,0,35,10,0,24,0.13,0.3,0.13,0.3,0.79,1.15,0.33
116,Izzy Brown,eng ENG,Brighton,MF,Y,19,15,12,3,1009,67,4,1,0,0,15,3,0,7,0.36,0.45,0.36,0.45,0.62,1.34,0.27
117,Stephen Ward,ie IRL,Burnley,DF,Y,30,37,37,0,3230,87,1,1,0,0,34,5,0,1,0.03,0.06,0.03,0.06,0.03,0.95,0.14
118,Matthew Lowton,eng ENG,Burnley,DF,Y,27,36,36,0,3240,90,0,2,0,0,34,9,0,2,0,0.06,0,0.06,0.06,0.94,0.25
119,Michael Keane,eng ENG,Burnley,DF,N,23,35,35,0,3150,90,2,1,0,0,16,4,0,7,0.06,0.09,0.06,0.09,0.2,0.46,0.11
120,Ben Mee,eng ENG,Burnley,DF,Y,26,34,34,0,3015,89,1,0,0,0,23,5,0,6,0.03,0.03,0.03,0.03,0.18,0.69,0.15
121,George Boyd,sco SCO,Burnley,MF,N,30,36,33,3,2836,79,2,1,0,0,32,3,0,7,0.06,0.1,0.06,0.1,0.22,1.02,0.1
122,Jeff Hendrick,ie IRL,Burnley,MF,Y,24,32,31,1,2692,84,2,1,0,0,42,6,1,6,0.07,0.1,0.07,0.1,0.2,1.4,0.23
123,Andre Gray,eng ENG,Burnley,FW,N,25,32,26,6,2259,71,9,3,2,2,17,2,0,19,0.36,0.48,0.28,0.4,0.76,0.68,0.08
124,Scott Arfield,ca CAN,Burnley,MF,Y,27,31,23,8,2102,68,1,1,0,0,37,3,0,7,0.04,0.09,0.04,0.09,0.3,1.58,0.13
125,Sam Vokes,wal WAL,Burnley,FW,Y,26,37,21,16,2064,56,10,3,2,2,24,0,0,23,0.44,0.57,0.35,0.48,1,1.05,0
126,Dean Marney,eng ENG,Burnley,MF,Y,32,21,21,0,1764,84,1,2,0,0,34,7,0,3,0.05,0.15,0.05,0.15,0.15,1.73,0.36
127,Ashley Barnes,at AUT,Burnley,FW,Y,26,28,20,8,1773,63,6,2,2,2,54,7,1,19,0.3,0.41,0.2,0.3,0.96,2.74,0.41
128,Steven Defour,be BEL,Burnley,MF,Y,28,21,16,5,1068,51,1,3,0,0,14,1,0,6,0.08,0.34,0.08,0.34,0.51,1.18,0.08
129,Joey Barton,eng ENG,Burnley,MF,N,33,14,12,2,1105,79,1,0,0,0,20,4,0,3,0.08,0.08,0.08,0.08,0.24,1.63,0.33
130,Johann Berg Gudmundsson,is ISL,Burnley,MF,Y,25,20,10,10,998,50,1,2,0,0,3,1,0,8,0.09,0.27,0.09,0.27,0.72,0.27,0.09
131,Robbie Brady,ie IRL,Burnley,MF,Y,24,14,7,7,719,51,1,2,0,0,8,1,0,3,0.13,0.38,0.13,0.38,0.38,1,0.13
132,Ashley Westwood,eng ENG,Burnley,MF,Y,26,9,6,3,551,61,0,0,0,0,8,3,0,0,0,0,0,0,0,1.31,0.49
133,James Tarkowski,eng ENG,Burnley,DF,Y,23,19,4,15,568,30,0,0,0,0,10,1,0,0,0,0,0,0,0,1.58,0.16
134,Jon Flanagan,eng ENG,Burnley,DF,N,23,6,3,3,360,60,0,0,0,0,9,2,0,0,0,0,0,0,0,2.25,0.5
135,Kevin Long,ie IRL,Burnley,DF,Y,25,3,3,0,270,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33,0
136,Michael Kightly,eng ENG,Burnley,MF,N,30,5,1,4,104,21,0,0,0,0,3,0,0,1,0,0,0,0,0.87,2.6,0
137,David Jones,eng ENG,Burnley,MF,Y,31,1,1,0,86,86,0,0,0,0,1,1,0,0,0,0,0,0,0,1.05,1.05
138,Aiden O'Neill,au AUS,Burnley,MF,Y,18,3,0,3,85,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1.06,0
139,Patrick Bamford,eng ENG,Burnley,FW,N,22,6,0,6,39,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2.31,0
140,Dan Agyei,eng ENG,Burnley,FW,Y,19,3,0,3,25,8,0,0,0,0,1,0,0,0,0,0,0,0,0,3.6,0
141,Lukas Jutkiewicz,pl POL,Burnley,FW,N,27,2,0,2,13,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6.92,0
142,Jonathan Walters,ie IRL,Burnley,FW,Y,32,23,13,10,1304,57,4,2,1,1,13,1,0,12,0.28,0.41,0.21,0.35,0.83,0.9,0.07
143,Jack Cork,eng ENG,Burnley,MF,Y,27,30,25,5,2232,74,0,0,0,0,24,7,0,5,0,0,0,0,0.2,0.97,0.28
144,Phil Bardsley,sco SCO,Burnley,DF,Y,31,15,14,1,1168,78,0,0,0,0,25,5,1,2,0,0,0,0,0.15,1.93,0.46
145,Georges-Kevin N'Koudou,fr FRA,Burnley,MF,S,21,8,0,8,54,7,0,0,0,0,1,0,0,1,0,0,0,0,1.67,1.67,0
146,Nahki Wells,bm BER,Burnley,FW,Y,26,43,31,12,3031,71,10,2,0,0,41,4,0,34,0.3,0.36,0.3,0.36,1.01,1.22,0.12
147,Chris Wood,nz NZL,Burnley,FW,Y,24,44,41,3,3621,82,27,4,5,5,64,2,0,44,0.67,0.77,0.55,0.65,1.09,1.59,0.05
148,Charlie Taylor,eng ENG,Burnley,DF,Y,22,29,26,3,2351,81,0,3,0,0,15,3,0,1,0,0.11,0,0.11,0.04,0.57,0.11
149,Aaron Lennon,eng ENG,Burnley,MF,S,29,11,6,5,509,46,0,1,0,0,2,0,0,0,0,0.18,0,0.18,0,0.35,0
150,Caesar Azpilicueta,es ESP,Chelsea,DF,Y,26,38,38,0,3420,90,1,4,0,0,28,4,0,6,0.03,0.13,0.03,0.13,0.16,0.74,0.11
151,Gary Cahill,eng ENG,Chelsea,DF,Y,30,37,36,1,3296,89,6,0,0,0,34,5,0,11,0.16,0.16,0.16,0.16,0.3,0.93,0.14
152,Eden Hazard,be BEL,Chelsea,MF,Y,25,36,36,0,2982,83,16,5,2,3,19,3,0,32,0.48,0.63,0.42,0.57,0.97,0.57,0.09
153,N'Golo Kante,fr FRA,Chelsea,MF,Y,25,35,35,0,3138,90,1,1,0,0,54,9,0,7,0.03,0.06,0.03,0.06,0.2,1.55,0.26
154,Diego Costa,es ESP,Chelsea,FW,N,27,35,35,0,3082,88,20,6,0,1,42,10,0,41,0.58,0.76,0.58,0.76,1.2,1.23,0.29
155,David Luiz,br BRA,Chelsea,DF,Y,29,33,33,0,2954,90,1,0,0,0,29,6,0,10,0.03,0.03,0.03,0.03,0.3,0.88,0.18
156,Nemanja Matic,rs SRB,Chelsea,MF,N,27,35,30,5,2694,77,1,7,0,0,33,4,0,7,0.03,0.27,0.03,0.27,0.23,1.1,0.13
157,Marcos Alonso,es ESP,Chelsea,DF,Y,25,31,30,1,2693,87,6,3,0,0,25,2,0,17,0.2,0.3,0.2,0.3,0.57,0.84,0.07
158,Victor Moses,ng NGA,Chelsea,DF,Y,25,34,29,5,2483,73,3,2,0,0,28,4,0,15,0.11,0.18,0.11,0.18,0.54,1.01,0.14
159,Pedro,es ESP,Chelsea,MF,Y,29,35,26,9,2140,61,9,9,0,0,32,6,0,18,0.38,0.76,0.38,0.76,0.76,1.35,0.25
